timestamp,outdoor_temperature_c,solar_irradiance_w_m2,wind_speed_m_s,humidity_percent
2026-01-15 00:00,-18,0,2,35
2026-01-15 01:00,-19,0,2,35
2026-01-15 02:00,-20,0,2,34
2026-01-15 03:00,-21,0,2,34
2026-01-15 04:00,-22,0,2,33
2026-01-15 05:00,-22,0,2,33
2026-01-15 06:00,-21,20,2,34
2026-01-15 07:00,-18,100,2,35
2026-01-15 08:00,-14,250,2,35
2026-01-15 09:00,-10,450,2,34
2026-01-15 10:00,-6,650,2,32
2026-01-15 11:00,-2,800,2,30
2026-01-15 12:00,0,900,2,29
2026-01-15 13:00,2,850,2,29
2026-01-15 14:00,1,700,2,30
2026-01-15 15:00,-1,500,2,31
2026-01-15 16:00,-5,250,2,32
2026-01-15 17:00,-9,80,2,34
2026-01-15 18:00,-12,0,2,35
2026-01-15 19:00,-14,0,2,35
2026-01-15 20:00,-15,0,2,35
2026-01-15 21:00,-16,0,2,35
2026-01-15 22:00,-17,0,2,35
2026-01-15 23:00,-18,0,2,35
